"date,state,fips,cases,deaths"
"2020-07-28,Alabama,01,82366,1491"
"2020-07-28,Alaska,02,3348,20"
"2020-07-28,Arizona,04,165994,3424"
"2020-07-28,Arkansas,05,40181,428"
"2020-07-28,California,06,474951,8716"
"2020-07-28,Colorado,08,45420,1809"
"2020-07-28,Connecticut,09,49077,4423"
"2020-07-28,Delaware,10,14476,580"
"2020-07-28,District of Columbia,11,11945,583"
"2020-07-28,Florida,12,441969,6116"
"2020-07-28,Georgia,13,160038,3488"
"2020-07-28,Guam,66,1318,6"
"2020-07-28,Hawaii,15,1734,25"
"2020-07-28,Idaho,16,19318,168"
"2020-07-28,Illinois,17,175588,7645"
"2020-07-28,Indiana,18,65258,2924"
"2020-07-28,Iowa,19,42928,839"
"2020-07-28,Kansas,20,26494,344"
"2020-07-28,Kentucky,21,28876,735"
"2020-07-28,Louisiana,22,111150,3812"
"2020-07-28,Maine,23,3838,121"
"2020-07-28,Maryland,24,86091,3458"
"2020-07-28,Massachusetts,25,116182,8551"
"2020-07-28,Michigan,26,88025,6426"
"2020-07-28,Minnesota,27,52321,1620"
"2020-07-28,Mississippi,28,54299,1543"
"2020-07-28,Missouri,29,46225,1263"
"2020-07-28,Montana,30,3491,52"
"2020-07-28,Nebraska,31,25239,326"
"2020-07-28,Nevada,32,44991,760"
"2020-07-28,New Hampshire,33,6500,409"
"2020-07-28,New Jersey,34,182215,15825"
"2020-07-28,New Mexico,35,19791,626"
"2020-07-28,New York,36,417591,32333"
"2020-07-28,North Carolina,37,116376,1847"
"2020-07-28,North Dakota,38,6145,104"
"2020-07-28,Northern Mariana Islands,69,40,2"
"2020-07-28,Ohio,39,86497,3382"
"2020-07-28,Oklahoma,40,33757,509"
"2020-07-28,Oregon,41,17419,305"
"2020-07-28,Pennsylvania,42,114129,7197"
"2020-07-28,Puerto Rico,72,15840,209"
"2020-07-28,Rhode Island,44,18725,1005"
"2020-07-28,South Carolina,45,84109,1565"
"2020-07-28,South Dakota,46,8492,123"
"2020-07-28,Tennessee,47,96318,988"
"2020-07-28,Texas,48,412744,6515"
"2020-07-28,Utah,49,38877,290"
"2020-07-28,Vermont,50,1405,56"
"2020-07-28,Virgin Islands,78,375,7"
"2020-07-28,Virginia,51,86994,2095"
"2020-07-28,Washington,53,56576,1633"
"2020-07-28,West Virginia,54,6173,111"
"2020-07-28,Wisconsin,55,54114,916"
"2020-07-28,Wyoming,56,2589,26"
